product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,promo_discount_type_2
P0001,S0002,2017-01-02,0.0,0.0,8.0,6.25,PR14,,PR03,,,
P0001,S0012,2017-01-02,1.0,5.3,0.0,6.25,PR14,,PR03,,,
P0001,S0013,2017-01-02,2.0,10.59,0.0,6.25,PR14,,PR03,,,
P0001,S0023,2017-01-02,0.0,0.0,6.0,6.25,PR14,,PR03,,,
P0001,S0025,2017-01-02,0.0,0.0,1.0,6.25,PR14,,PR03,,,
P0001,S0027,2017-01-02,0.0,0.0,7.0,6.25,PR14,,PR03,,,
P0001,S0040,2017-01-02,0.0,0.0,19.0,6.25,PR14,,PR03,,,
P0001,S0049,2017-01-02,0.0,0.0,8.0,6.25,PR14,,PR03,,,
P0001,S0050,2017-01-02,0.0,0.0,5.0,6.25,PR14,,PR03,,,
P0001,S0051,2017-01-02,0.0,0.0,6.0,6.25,PR14,,PR03,,,
P0001,S0055,2017-01-02,0.0,0.0,6.0,6.25,PR14,,PR03,,,
P0001,S0056,2017-01-02,1.0,5.3,6.0,6.25,PR14,,PR03,,,
P0001,S0062,2017-01-02,0.0,0.0,2.0,6.25,PR14,,PR03,,,
P0001,S0063,2017-01-02,0.0,0.0,7.0,6.25,PR14,,PR03,,,
P0001,S0066,2017-01-02,0.0,0.0,1.0,6.25,PR14,,PR03,,,
P0001,S0078,2017-01-02,0.0,0.0,6.0,6.25,PR14,,PR03,,,
P0001,S0082,2017-01-02,0.0,0.0,4.0,6.25,PR14,,PR03,,,
P0001,S0083,2017-01-02,0.0,0.0,10.0,6.25,PR14,,PR03,,,
P0001,S0087,2017-01-02,0.0,0.0,10.0,6.25,PR14,,PR03,,,
P0001,S0094,2017-01-02,0.0,0.0,6.0,6.25,PR14,,PR03,,,
P0001,S0096,2017-01-02,0.0,0.0,2.0,6.25,PR14,,PR03,,,
P0001,S0102,2017-01-02,0.0,0.0,7.0,6.25,PR14,,PR03,,,
P0001,S0103,2017-01-02,1.0,5.3,10.0,6.25,PR14,,PR03,,,
P0001,S0104,2017-01-02,0.0,0.0,22.0,6.25,PR14,,PR03,,,
P0001,S0105,2017-01-02,0.0,0.0,6.0,6.25,PR14,,PR03,,,
P0001,S0106,2017-01-02,1.0,5.3,3.0,6.25,PR14,,PR03,,,
P0001,S0107,2017-01-02,0.0,0.0,2.0,6.25,PR14,,PR03,,,
P0001,S0108,2017-01-02,0.0,0.0,7.0,6.25,PR14,,PR03,,,
P0001,S0110,2017-01-02,0.0,0.0,1.0,6.25,PR14,,PR03,,,
P0001,S0115,2017-01-02,0.0,0.0,1.0,6.25,PR14,,PR03,,,
P0001,S0122,2017-01-02,0.0,0.0,1.0,6.25,PR14,,PR03,,,
P0001,S0125,2017-01-02,0.0,0.0,7.0,6.25,PR14,,PR03,,,
P0001,S0131,2017-01-02,0.0,0.0,2.0,6.25,PR14,,PR03,,,
P0001,S0132,2017-01-02,0.0,0.0,5.0,6.25,PR14,,PR03,,,
P0001,S0142,2017-01-02,0.0,0.0,1.0,6.25,PR14,,PR03,,,
P0004,S0006,2017-01-02,0.0,0.0,18.0,4.5,PR14,,PR03,,,
P0004,S0019,2017-01-02,0.0,0.0,2.0,4.5,PR14,,PR03,,,
P0004,S0038,2017-01-02,0.0,0.0,2.0,4.5,PR14,,PR03,,,
P0004,S0044,2017-01-02,1.0,3.81,7.0,4.5,PR14,,PR03,,,
P0004,S0085,2017-01-02,0.0,0.0,29.0,4.5,PR14,,PR03,,,
P0005,S0001,2017-01-02,0.0,0.0,7.0,33.9,PR14,,PR03,,,
P0005,S0002,2017-01-02,0.0,0.0,11.0,33.9,PR14,,PR03,,,
P0005,S0008,2017-01-02,0.0,0.0,3.0,33.9,PR14,,PR03,,,
P0005,S0012,2017-01-02,0.0,0.0,6.0,33.9,PR14,,PR03,,,
P0005,S0013,2017-01-02,0.0,0.0,11.0,33.9,PR14,,PR03,,,
P0005,S0020,2017-01-02,0.0,0.0,3.0,33.9,PR14,,PR03,,,
P0005,S0023,2017-01-02,0.0,0.0,3.0,33.9,PR14,,PR03,,,
P0005,S0024,2017-01-02,0.0,0.0,3.0,33.9,PR14,,PR03,,,
P0005,S0026,2017-01-02,0.0,0.0,4.0,33.9,PR14,,PR03,,,
P0005,S0031,2017-01-02,0.0,0.0,7.0,33.9,PR14,,PR03,,,
P0005,S0038,2017-01-02,0.0,0.0,2.0,33.9,PR14,,PR03,,,
